org,flow,estimate,actual
နိုင်ငံတော်သမ္မတရုံး,ရငွေ,0.000,0.000
ပြည်ထောင်စုအစိုးရအဖွဲ့ရုံး,ရငွေ,6.000,4.006
ပြည်ထောင်စုလွှတ်တော်ရုံး,ရငွေ,466.020,28.812
ပြည်သူ့လွှတ်တော်ရုံး,ရငွေ,0.240,0.785
အမျိုးသားလွှတ်တော်ရုံး,ရငွေ,0.030,0.386
ပြည်ထောင်စုတရားလွှတ်တော်ချုပ်ရုံး,ရငွေ,74.580,110.132
နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေဆိုင်ရာခုံရုံး,ရငွေ,0.000,0.000
ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်ရုံး,ရငွေ,1.200,1.917
ပြည်ထောင်စုရှေ့နေချုပ်ရုံး,ရငွေ,4.840,0.174
ပြည်ထောင်စုစာရင်းစစ်ချုပ်‌ရုံး,ရငွေ,308.487,84.791
ပြည်ထောင်စုရာထူး၀န်အဖွဲ့,ရငွေ,42.464,37.295
နိုင်ငံတော်သမ္မတရုံး,အသုံးစရိတ်,"2,120.559","1,553.10"
ပြည်ထောင်စုအစိုးရအဖွဲ့ရုံး,အသုံးစရိတ်,609.255,495.915
ပြည်ထောင်စုလွှတ်တော်ရုံး,အသုံးစရိတ်,400.000,382.709
ပြည်သူ့လွှတ်တော်ရုံး,အသုံးစရိတ်,"2,297.045","2,041.73"
အမျိုးသားလွှတ်တော်ရုံး,အသုံးစရိတ်,"1,152.959","1,213.00"
ပြည်ထောင်စုတရားလွှတ်တော်ချုပ်ရုံး,အသုံးစရိတ်,"5,438.744","5,512.97"
နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေဆိုင်ရာခုံရုံး,အသုံးစရိတ်,213.058,195.286
ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်ရုံး,အသုံးစရိတ်,"6,044.451","1,400.36"
ပြည်ထောင်စုရှေ့နေချုပ်ရုံး,အသုံးစရိတ်,800.744,766.55
ပြည်ထောင်စုစာရင်းစစ်ချုပ်‌ရုံး,အသုံးစရိတ်,"1,036.368",722.225
ပြည်ထောင်စုရာထူး၀န်အဖွဲ့,အသုံးစရိတ်,"3,119.805","2,406.56"