Sn,Announcement Date,Hospital-original,hospital-name-mm,PPE,Glove,N-95,Surgical Mask,Goggle,Shoe Cover,Remarks,Ref,lat,long
1,27/3,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,500,0,4000,3000,20,30,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.77947,96.15063
2,27/3,ရန်ကုန် အထူးကုဆေးရုံကြီး,ရန်ကုန်အထူးကုဆေးရုံကြီး,50,0,1000,2000,20,30,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.7797,96.14403
3,27/3,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,ရန်ကုန်အထွေထွေရောဂါကုဆေးရုံသစ်ကြီး,50,0,3000,2000,0,30,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.77992,96.14595
4,27/3,ရန်ကုန်ဗဟိုအမျိုးသမီးဆေးရုံကြီး,ဗဟိုအမျိုးသမီးဆေးရုံကြီး,50,0,2000,2000,0,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.7853,96.13515
5,27/3,မြောက်ဥက္ကလာပြည်သူ့ဆေးရုံကြီး,သင်ကြားရေးနှင့်အထွေထွေရောဂါကုဆေးရုံကြီး,200,0,3000,3000,30,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.90042,96.15841
6,27/3,ရန်ကုန်ကလေးဆေးရုံကြီး,ကလေးရောဂါအထူးကုဆေးရုံကြီး,50,0,3000,500,20,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.78848,96.13554
7,27/3,ရန်ကုန်အရိုးအထူးကုဆေးရုံကြီး,အရိုးရောဂါကုဆေးရုံကြီး,50,0,1000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.81815,96.12477
8,27/3,သင်္ဃန်းကျွန်းအထွေထွေ ရောဂါကု ဆေးရုံ,သင်္ဃန်းကျွန်းစံပြအထွေထွေရောဂါကုဆေးရုံကြီး,100,0,3000,2000,30,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.83438,96.19182
9,27/3,အင်းစိန်အထွေထွေရောဂါကု ဆေးရုံကြီး,အင်းစိန်အထွေထွေရောဂါကုဆေးရုံကြီး,300,0,4000,2000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.89162,96.10544
10,27/3,ရန်ကင်းကလေးဆေးရုံ,ရန်ကင်းကလေးဆေးရုံ,50,0,2000,500,5,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.83497,96.1595
11,27/3,မန္တလေးအထွေထွေရောဂါကုဆေးရုံကြီး,မန္တလေးပြည်သူ့ဆေးရုံကြီး,600,0,4000,3000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.97656,96.09196
12,27/3,မန္တလေးခုတင် ၃၀၀ သင်ကြားရေးဆေးရုံ,သင်ကြားရေးဆေးရုံကြီး,50,0,3000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.94746,96.11128
13,27/3,မန္တလေး အရိုးဆေးရုံ,အရိုးရောဂါအထူးကုဆေးရုံကြီး,50,0,1000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.94323,96.1111
14,27/3,မန္တလေး ဗဟိုအမျိုးသမီးဆေးရုံ,ဗဟိုအမျိုးသမီးဆေးရုံ,50,0,2000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.97597,96.10254
15,27/3,မန္တလေးကလေးဆေးရုံ,ကလေးရောဂါအထူးကုဆေးရုံကြီး (မန္တလေး) ကုတင် ၃၀၀,100,0,3000,1000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.97964,96.10565
16,27/3,မန္တလေး ခုတင် ၅၀၀ ကလေးဆေးရုံ,ကလေးရောဂါအထူးကုဆေးရုံကြီး(မန္တလေး),100,0,2000,1000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,21.97749,96.09167
17,27/3,နေပြည်တော်ကုတင်၁၀၀၀,ကုတင်(၁၀၀၀)ဆေးရုံ,200,0,4000,1000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,,
18,27/3,မကွေးသင်ကြားရေးဆေးရုံကြီး,မကွေးမြို့သင်ကြားရေးဆေးရုံကြီး,100,0,2000,1000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,20.16871,94.99229
19,27/3,စဝ်စံထွန်းဆေးရုံကြီး,စပ်စံထွန်းဆေးရုံကြီး,100,0,4000,1000,10,10,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,20.80391,97.03799
20,27/3,တောင်ကြီးအမျိုးသမီးနှင့် ကလေးဆေးရုံကြီး,အမျိုးသမီးနှင့်ကလေးဆေးရုံ,50,0,2000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,20.77232,97.03843
21,27/3,နေပြည်တော်အရိုးရောဂါကုဆေးရုံကြီး,အရိုးအကြောဆေးရုံ,50,0,500,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,,
22,27/3,ကလေးအထူးကုဆေးရုံ၊ နေပြည်တော်,ကလေးအထူးကုဆေးရုံ (နေပြည်တော်),50,0,1000,1000,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,,
23,27/3,နေပြည်တော်သားဖွား၊မီးယပ်ရောဂါ အထူးကုဆေးရုံ,သားဖွားမီးယပ်ဆေးရုံ,50,0,1000,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,,
24,27/3,နေပြည်တော် မျက်စိ၊နား၊နှာခေါင်း၊လည်ချောင်း အထူးကုဆေးရုံ,မျက်စိ၊နား၊နှာခေါင်းဆေးရုံ,50,0,500,500,10,20,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,,
25,27/3,ဝေဘာဂီဆေးရုံ,အထူးကုဆေးရုံ(ဝေဘာဂီ),500,0,0,0,0,0,,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/pcb.3282607838435165/3282830401746242/?type=3&theater,16.92035,96.15726
26,3/28/2020,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,ရန်ကုန်ပြည်သူ့ဆေးရုံကြီး,500,,,,,,,https://web.facebook.com/199295433433103/posts/3283258258370123/,16.77947,96.15063